queue_id,candidate_id,title,authors,year,venue,doi,url,topic,reason,requested_action,status,added_at
30606e465754,9d63921f2f1c,Low Altitude Situational Awareness Enhancement using Remote ID Broadcasted from small UAS,Daisuke Kubo; Atsushi Osedo; Ippei Yasui,2020,AIAA AVIATION 2020 FORUM,10.2514/6.2020-2867,https://openalex.org/W3034217503,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:12+00:00
ee683be2ea66,a411e95cfd8a,Trustworthy Device Identifiers For Unmanned Aircraft and Other Mobile Things,Robert Moskowitz; Stuart W. Card; Adam Wiethuechter; Suleman Khan; Andrei Gurtov,2024,,10.1109/uvs59630.2024.10467167,https://openalex.org/W4392981864,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:12+00:00
a64690179960,63c5510cd4ee,Real-Time UAV Trajectory Prediction for UTM Surveillance Using Machine Learning,Neno Ruseno; Chung-Yan Lin,2024,Unmanned Systems,10.1142/s230138502550030x,https://openalex.org/W4391815999,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-28T09:33:12+00:00
e7db135d411d,a1f56fd08608,Uncertainty Assessment for Towing Tank Tests With Example for Surface Combatant DTMB Model 5415,Joe Longo; Fred Stern,2005,Journal of Ship Research,10.5957/jsr.2005.49.1.55,https://openalex.org/W1528476916,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
ede942369bb8,1649f4ba9da3,"Towing tank PIV measurement system, data and uncertainty assessment for DTMB Model 5512",L. Gui; Joseph Longo; Frederick Stern,2001,Experiments in Fluids,10.1007/s003480100293,https://openalex.org/W2067447215,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
bdfb96876425,cb8ec93b2000,Key Technologies and Measurements for DTMB-A System,Jian Song; Chao Zhang; Kewu Peng; Jintao Wang; Changyong Pan; Fang Yang; Jun Wang; Hui Yang; Yonglin Xue; Yu Zhang; Zhixing Yang,2018,IEEE Transactions on Broadcasting,10.1109/tbc.2018.2835779,https://openalex.org/W2807545310,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
db3b42a8ffa1,c4b5d0e0098b,Numerical simulations of free roll decay of DTMB 5415,Metin Kemal Gökçe; Ömer Kemal Kınacı,2018,Ocean Engineering,10.1016/j.oceaneng.2017.12.067,https://openalex.org/W2781713412,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
0f13f2442b70,298980f7672b,Reconstruction of reference signal for DTMB-based passive radar systems,Wan Xianrong; Wang Junfang; Sheng Hong; Hui Tang,2011,,10.1109/cie-radar.2011.6159501,https://openalex.org/W2546624326,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
391b4b517ae8,af095c62c0ed,Field trial of advanced DTMB system DTMB-A in Hong Kong,Changyong Pan; Jintao Wang; Haidong Fang; Jian Song,2013,,10.1109/bmsb.2013.6621768,https://openalex.org/W2087898699,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
af97b16863a3,70b4e956f147,Cochannel Interference in DTMB-Based Passive Radar,Min Lü; Jianxin Yi; Xianrong Wan; Weijie Zhan,2018,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2018.2882959,https://openalex.org/W2901351940,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
cbf020fe9478,d75dbbabbaa1,THE DTMB PLANAR-MOTION-MECHANISM SYSTEM,Morton Gertler,1967,,10.21236/ad0659053,https://openalex.org/W287937163,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
e2832704f373,54ca91be6099,Robust Timing and Frequency Synchronization Scheme for DTMB System,Jianming Wu; Yun Chen; Xiaoyang Zeng; Hao Min,2007,IEEE Transactions on Consumer Electronics,10.1109/tce.2007.4429223,https://openalex.org/W2121320095,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:12+00:00
4660577bc8f8,5483fb7851fe,Using LTE Networks for UAV Command and Control Link: A Rural-Area Coverage Analysis,Huan Cong Nguyen; Rafhael Amorim; Jeroen Wigard; István Z. Kovács; Preben Mogensen,2017,,10.1109/vtcfall.2017.8287894,https://openalex.org/W2707416895,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:56+00:00
e684b3d0f3c5,f3a1ce49b949,Cooperative Path Following Control of USV-UAVs Considering Low Design Complexity and Command Transmission Requirements,Jiqiang Li; Guoqing Zhang; Wenjun Zhang; Qihe Shan; Weidong Zhang,2023,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2023.3317336,https://openalex.org/W4386869627,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:56+00:00
8478bb58e769,ec58231d10ef,Towards enabling reliable immersive teleoperation through Digital Twin: A UAV command and control use case,Nassim Sehad; Xinyi Tu; Akash Rajasekaran; Hamed Hellaoui; Riku Jäntti; Mérouane Debbah,2023,,10.1109/globecom54140.2023.10437527,https://openalex.org/W4392175325,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:56+00:00
53c949a0a11c,58544a9ad557,Antisaturation Command Filtered Backstepping Control-Based Disturbance Rejection for a Quadarotor UAV,Kang Liu; Rujing Wang,2021,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2021.3069967,https://openalex.org/W3151277277,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:56+00:00
e03c8fdf80e1,558c9457dbb3,Command filter-based adaptive fuzzy integral backstepping control for quadrotor UAV with input saturation,Wenqian Liu; Xianghong Cheng; Jingjing Zhang,2022,Journal of the Franklin Institute,10.1016/j.jfranklin.2022.10.042,https://openalex.org/W4307995266,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:58:56+00:00
183aa54ceadc,628b3affdf1a,Broadcast Control Channel Jamming: Resilience and Identification of Traitors,Agnes Chan; Xin Liu; Guevara Noubir; Bishal Thapa,2007,,10.1109/isit.2007.4557594,https://openalex.org/W2061022265,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
1e75ab9dad1c,ec3dd5e18b1c,Decentralized dynamic control of a multiaccess broadcast channel,Bruce Hajek; T. van Loon,1982,IEEE Transactions on Automatic Control,10.1109/tac.1982.1102978,https://openalex.org/W2050140857,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
78abcf6afdd5,98fb90992359,Packet Switching in a Multiaccess Broadcast Channel: Dynamic Control Procedures,Simon S. Lam; Leonard Kleinrock,1975,IRE Transactions on Communications Systems,10.1109/tcom.1975.1092917,https://openalex.org/W2017617691,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
4cf3d60ebea0,f3251abf5a77,Joint Beamforming and Power Control for Multiantenna Relay Broadcast Channel With QoS Constraints,Rui Zhang; Chin Choy Chai; Ying‐Chang Liang,2008,IEEE Transactions on Signal Processing,10.1109/tsp.2008.2008254,https://openalex.org/W2167282237,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
c32d432773bc,829cb6060dce,Congestion Control Based on Channel Occupancy in Vehicular Broadcast Networks,Yaser P. Fallah; Ching-Ling Huang; Raja Sengupta; Hariharan Krishnan,2010,,10.1109/vetecf.2010.5594504,https://openalex.org/W2015380071,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
6ea1ffa465aa,618c685db28c,Autonomous inter base station synchronisation via a common broadcast control channel,Xavier Lagrange; Philippe Godlewski,2002,,10.1109/vetec.1994.345252,https://openalex.org/W2111759940,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
1e4d61f3f388,98eae0f99c2d,Decentralized control of a multiple access broadcast channel: performance bounds,James M. Ooi; Gregory W. Wornell,2002,,10.1109/cdc.1996.574318,https://openalex.org/W2162635261,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
871914d8ac5b,ee518ec98fe2,A distributed broadcast protocol in multi-hop cognitive radio ad hoc networks without a common control channel,Yi Song; Jiang Xie,2012,,10.1109/infcom.2012.6195614,https://openalex.org/W2066901849,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
d266b8c8529a,4b241ca0aacf,Planning of the GSM network broadcast control channel with data fusion,Serdar Biroğul; Çetin Elmas; Aydın Çetin,2010,Expert Systems with Applications,10.1016/j.eswa.2010.08.031,https://openalex.org/W2072320505,dtmb_uav_control,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:14+00:00
e833aa3e2c83,4fabecd3f1d2,A Novel Control Approach for Flight-Stability of Fixed-Wing UAV Formation With Wind Field,Jialong Zhang; Jianguo Yan,2020,IEEE Systems Journal,10.1109/jsyst.2020.3002809,https://openalex.org/W3040453693,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
a54f04884127,1deb78b54ebf,Time-Varying Formation Tracking for Second-Order Multi-Agent Systems Subjected to Switching Topologies With Application to Quadrotor Formation Flying,Xiwang Dong; Yan Zhou; Zhang Ren; Yisheng Zhong,2016,IEEE Transactions on Industrial Electronics,10.1109/tie.2016.2593656,https://openalex.org/W2499597001,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
47da5aed0ef1,9054fa9e4101,An Improved Artificial Potential Field Method for Path Planning and Formation Control of the Multi-UAV Systems,Zhenhua Pan; Chengxi Zhang; Yuanqing Xia; Hao Xiong; Xiaodong Shao,2021,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2021.3112787,https://openalex.org/W3200237136,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
826c34ce7bb3,1526888d06b0,Multi-UAV Formation Control Based on a Novel Back-Stepping Approach,Jialong Zhang; Jianguo Yan; Pu Zhang,2020,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.2964847,https://openalex.org/W2999934039,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
efa3667d827f,40b0ce580e8f,A Synergistic Fractional-Order Control for Precise Helical Trajectory Tracking and Formation Stability in Multi-Agent Quadrotor UAVs,Ghulam E Mustafa Abro; Ayman M. Abdallah,2024,Arabian Journal for Science and Engineering,10.1007/s13369-024-09849-y,https://openalex.org/W4405183950,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
4d8203b1d5d3,e73185a2ab79,Stability and control of the UAV formations flight,Teodor-Viorel Chelaru; Valentin Pană,2010,WSEAS Transactions on Systems and Control archive,,https://openalex.org/W2506953663,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
fa96f3167d23,082fddc7b9ce,Formation control of VTOL Unmanned Aerial Vehicles with communication delays,Abdelkader Abdessameud; Abdelhamid Tayebi,2011,Automatica,10.1016/j.automatica.2011.08.042,https://openalex.org/W2093848766,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:30+00:00
1233702b5f99,392774242d98,Formation Fight Control of Multi-UAVs with Communication Delay,Chengshun Yang,2012,Information and Computation,,https://openalex.org/W2366693151,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
d67bd9411953,eb77edd0d4b6,Time-Varying Formation Tracking Control for Multi-UAV Systems with Directed Graph and Communication Delays,Zhenwei Ma; Juntong Qi; Mingming Wang; Chong Wu; Jinjin Guo; Songbo Yuan,2021,,10.23919/ccc52363.2021.9550495,https://openalex.org/W3201793891,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
c14dd3b6c195,d698d0712d81,Research on Cooperative Formation Flight Control of Multi-UAV with Communication Time Delay,Peibei Ma; Jun Ji; Jiangbo Sui; Ming Lei,2021,,10.1109/cseps53726.2021.00017,https://openalex.org/W3196194613,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
47ca7093b688,3a2593206754,Time-Varying Formation Tracking Control for Multi-UAV Systems with Communication Delays and Switching Topologies,Zhengjun Liu; Mingming Wang; Juntong Qi; Chong Wu; Zhenwei Ma,2022,2022 41st Chinese Control Conference (CCC),10.23919/ccc55666.2022.9902798,https://openalex.org/W4312227848,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
0bb77a02eef9,2a0a45c2660c,Event-Triggered formation control for time-delayed discrete-Time multi-Agent system applied to multi-UAV formation flying,Ziwei Yan; Liang Han; Xiaoduo Li; Xiwang Dong; Qingdong Li; Zhang Ren,2023,Journal of the Franklin Institute,10.1016/j.jfranklin.2023.01.036,https://openalex.org/W4319442765,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
6e9ff4c904d6,4f9f25c3ffb1,Time‐varying formation of second‐order discrete‐time multi‐agent systems under non‐uniform communication delays and switching topology with application to UAV formation flying,Jianhua Wang; Liang Han; Xiaoduo Li; Xiwang Dong; Qingdong Li; Zhang Ren,2020,IET Control Theory and Applications,10.1049/iet-cta.2020.0183,https://openalex.org/W3035925006,formation_safety_boundary,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T09:59:38+00:00
f4552822b33b,7b62bed395bf,Remote ID-Based UAV Supervision System,Zhaohui Yang; Zhiqiang Wu; Shichao Xu,2025,2025 5th International Conference on Intelligent Communications and Computing (ICICC),10.1109/icicc66840.2025.11199528,https://doi.org/10.1109/icicc66840.2025.11199528,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:50+00:00
a9ed7309ab96,2f12625a633c,Reducing safe UAV separation distances with U2U communication and new Remote ID formats,Evgenii Vinogradov; Sofie Pollin,2022,2022 IEEE Globecom Workshops (GC Wkshps),10.1109/gcwkshps56602.2022.10008607,https://doi.org/10.1109/gcwkshps56602.2022.10008607,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:50+00:00
92c54b771adf,75146e000e48,Specification for Remote ID and Tracking,,,,10.1520/f3411-22,https://doi.org/10.1520/f3411-22,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:50+00:00
bfb2941d3f97,8bbafe6fa93c,Specification for Remote ID and Tracking,,,,10.1520/f3411-22a,https://doi.org/10.1520/f3411-22a,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:50+00:00
143771223aff,c676852d6fec,Drone Remote Identification Protocol (DRIP) Requirements and Terminology,A. Wiethuechter; R. Moskowitz; A. Gurtov,2022,,10.17487/rfc9153,https://doi.org/10.17487/rfc9153,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
03284045cc98,732b7b697b13,Drone Remote Identification Protocol (DRIP) Architecture,S. Card; A. Wiethuechter; R. Moskowitz; A. Gurtov,2023,,10.17487/rfc9434,https://doi.org/10.17487/rfc9434,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
5ec522f8d5ed,d050baaa7f2a,Thinking Ethically about Drone Violence,Christian Enemark,2021,Ethics of Drone Strikes,10.3366/edinburgh/9781474483575.003.0001,https://doi.org/10.3366/edinburgh/9781474483575.003.0001,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
f8a89d942471,fa3fd28df184,The drone of data,,2021,Drone imaginaries,10.7765/9781526145949.00009,https://doi.org/10.7765/9781526145949.00009,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
29a8a0662940,92157ec1e4ed,Remote Killing and the Ethics of Drone Warfare,,,Analyzing the Drone Debates,10.1057/9781137381576.0007,https://doi.org/10.1057/9781137381576.0007,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
8787c8ea65f0,cc79e3081457,Survey on Worldwide Implementation of Remote Identification and Discussion on Drone Identification in China,Zihe He; Tian Tan,2021,2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT),10.1109/iccasit53235.2021.9633559,https://doi.org/10.1109/iccasit53235.2021.9633559,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
481966098616,cced30219249,Ethics for Drone Operators: Rules versus Virtues,Peter Olsthoorn,2021,Ethics of Drone Strikes,10.3366/edinburgh/9781474483575.003.0007,https://doi.org/10.3366/edinburgh/9781474483575.003.0007,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
89c34a8b0be1,f6d306ed6d04,Navigating the skies: examining the FAA’s remote identification rule for unmanned aircraft systems,Abhishek Phadke; Josh Boyd; F. Antonio Medrano; Michael Starek,2023,Drone Systems and Applications,10.1139/dsa-2023-0029,https://doi.org/10.1139/dsa-2023-0029,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
0c644775a4f4,c929935c0a0c,Ethics of Drone Strikes,,2021,,10.3366/edinburgh/9781474483575.001.0001,https://doi.org/10.3366/edinburgh/9781474483575.001.0001,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
2caca7ad3b68,9709bfe2b81b,The gender politics of the drone,,2021,Drone imaginaries,10.7765/9781526145949.00013,https://doi.org/10.7765/9781526145949.00013,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:53+00:00
e7189a648e3c,8e075374f3ae,Detect and Avoid (DAA) with Broadcast Remote ID (RID),Aashay S. Shah; Wentao Chen; Jason Ho; Samuel Jawhar; Tiantian Lu; Mengjie Xie; Pengfei Yan; Peter J. Burke,2026,IEEE Aerospace and Electronic Systems Magazine,10.1109/maes.2026.3668143,https://doi.org/10.1109/maes.2026.3668143,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
197973553504,69d666fddd42,Detect and Avoid (DAA) with Broadcast Remote ID (RID),Aashay S Shah; Wentao Chen; Jason Ho; Samuel Jawhar; Tiantian Lu; Mengjie Xie; Pengfei Yan; Peter Burke,,,10.36227/techrxiv.173933110.04433959/v1,https://doi.org/10.36227/techrxiv.173933110.04433959/v1,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
5e3ca520d186,771c47a7df8c,Comments on an Efficient ID-Based Broadcast Encryption Scheme,Hung-Yu Chien,2007,IEEE Transactions on Broadcasting,10.1109/tbc.2007.908331,https://doi.org/10.1109/tbc.2007.908331,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
7f01b5686717,7a5a7ddcd2c4,An ID-Based Broadcast Encryption Scheme for Key Distribution,X. Du; Y. Wang; J. Ge; Y. Wang,2005,IEEE Transactions on Broadcasting,10.1109/tbc.2005.847600,https://doi.org/10.1109/tbc.2005.847600,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
ffeca44b99c7,ad305b6bdd4a,Remote control,,2001,Studio and Outside Broadcast Camerawork,10.4324/9780080518084-86,https://doi.org/10.4324/9780080518084-86,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
560addd31763,05eda2667546,Broadcast-based multiparty remote state preparation protocol,Huantong GENG; Tingting JIA; Wenjie LIU,2013,Journal of Computer Applications,10.3724/sp.j.1087.2013.03385,https://doi.org/10.3724/sp.j.1087.2013.03385,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
2245b79f9984,12ad32653253,Routing Switcher Type-Specific Messages for Remote Control of Broadcast Equipment,,,,10.5594/smpte.rp191-1996,https://doi.org/10.5594/smpte.rp191-1996,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
94cf6cdd2670,6530e6b65a2f,Where Next?,,2002,Broadcast Television Effects in A Remote Community,10.4324/9781410604002-13,https://doi.org/10.4324/9781410604002-13,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:02:58+00:00
08dbdaf0b54a,0110fb0ad23c,Aerospace series. Unmanned Aircraft Systems,,,,10.3403/30428784,https://doi.org/10.3403/30428784,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:03:03+00:00
8ea3c3ee5c55,5dc6a7b773d3,Aerospace series. Unmanned Aircraft Systems,,,,10.3403/30428784u,https://doi.org/10.3403/30428784u,remote_id_broadcast_capacity,No open PDF URL was found by the metadata search.,User should download legally if institutional or personal access is available.,pending,2026-05-29T10:03:03+00:00
